chu,pinyin,pinyin_go,thanh,han_viet,nghia,nghia_khac,bo_thu,nhieu,chu_de,cap,vi_du,vi_du_nghia,dong_nghia,trai_nghia,so_net,ngu_hanh,thang_goc,thang_bac,tan_suat
谷,gǔ,gu,3,cốc,thung lũng,,,谷|欲|俗|裕,thien_nhien,2,山谷很深。,Thung lũng rất sâu.,,,,土,,,
岩,yán,yan,2,nham,"đá tảng, nham thạch",,山|石,岩|炭|磊|岸,thien_nhien,3,岩石很硬。,Đá tảng rất cứng.,,,,土,,,
泥,ní,ni,2,nê,"bùn, đất bùn",,氵|尼,泥|尼|呢|坭,thien_nhien,3,路上有泥。,Trên đường có bùn.,,,,,,,
洞,dòng,dong,4,động,hang động,,氵|同,洞|同|铜|桐,thien_nhien,3,一个山洞。,Một cái hang núi.,,,,,,,
峰,fēng,feng,1,phong,đỉnh núi,,山|夆,峰|锋|蜂|逢,thien_nhien,3,山峰很高。,Đỉnh núi rất cao.,,,,,,,
崖,yá,ya,2,nhai,vách đá,,山|厓,崖|涯|崔|岸,thien_nhien,3,悬崖很危险。,Vách đá rất nguy hiểm.,,,,,,,
坡,pō,po,1,pha,"dốc, sườn đồi",,土|皮,坡|波|破|披,thien_nhien,3,上坡很累。,Leo dốc rất mệt.,,,,土,,,
溪,xī,xi,1,khê,con suối,,氵|奚,溪|鸡|奚|谿,thien_nhien,3,小溪很清。,Con suối nhỏ rất trong.,,,,,,,
潭,tán,tan,2,đàm,"đầm, vực nước",,氵|覃,潭|谭|覃|坛,thien_nhien,3,深潭很静。,Vực nước sâu rất tĩnh lặng.,,,,,,,
狮,shī,shi,1,sư,sư tử,,犭|师,狮|狼|狐|猴,thu,1,狮子很凶。,Sư tử rất dữ.,,,,,,,
猴,hóu,hou,2,hầu,khỉ,,犭|侯,猴|猪|猫|猩,thu,1,猴子爬树。,Con khỉ leo cây.,,,,,,,
狼,láng,lang,2,lang,chó sói,,犭|良,狼|狮|狐|猎,thu,1,狼很危险。,Chó sói rất nguy hiểm.,,,,,,,
狐,hú,hu,2,hồ,cáo,,犭|瓜,狐|狮|独|孤,thu,1,狐狸很聪明。,Con cáo rất khôn.,,,,,,,
鼠,shǔ,shu,3,thử,chuột,,,鼠|鼻|鼎|鼓,thu,1,老鼠很小。,Con chuột rất nhỏ.,,,,,,,
鹅,é,e,2,nga,ngỗng,,我|鸟,鹅|鸡|鸭|鸟,thu,1,大白鹅。,Con ngỗng trắng to.,,,,,,,
鸽,gē,ge,1,cáp,bồ câu,,合|鸟,鸽|鸡|鸭|鹅,thu,1,一只鸽子。,Một con bồ câu.,,,,,,,
蛙,wā,wa,1,oa,ếch,,虫|圭,蛙|蛇|蛛|蜂,thu,1,青蛙会跳。,Ếch biết nhảy.,,,,,,,
鹰,yīng,ying,1,ưng,đại bàng,,,鹰|应|鹅|雁,thu,2,老鹰飞得高。,Đại bàng bay rất cao.,,,,,,,
雀,què,que,4,tước,chim sẻ,,小|隹,雀|雁|集|雅,thu,2,一只麻雀。,Một con chim sẻ.,,,,,,,
蝶,dié,die,2,điệp,bướm,,虫|枼,蝶|蜂|蝴|蜡,thu,2,蝴蝶很美。,Con bướm rất đẹp.,,,,,,,
蜂,fēng,feng,1,phong,ong,,虫|夆,蜂|蝶|蜘|蜗,thu,2,蜜蜂在采蜜。,Con ong đang lấy mật.,,,,,,,
蚁,yǐ,yi,3,nghĩ,kiến,,虫|义,蚁|蚂|虫|蛇,thu,2,蚂蚁很小。,Con kiến rất nhỏ.,,,,,,,
龟,guī,gui,1,quy,rùa,,,龟|电|色|免,thu,2,乌龟走得慢。,Con rùa đi rất chậm.,,,,,,,
虾,xiā,xia,1,hà,tôm,,虫|下,虾|蟹|蛙|虫,thu,2,大虾很好吃。,Con tôm rất ngon.,,,,,,,
蟹,xiè,xie,4,giải,cua,,,蟹|解|蟀|懈,thu,2,螃蟹有八条腿。,Con cua có tám cái chân.,,,,,,,
蛛,zhū,zhu,1,chu,nhện,,虫|朱,蛛|株|珠|殊,thu,3,蜘蛛结网。,Con nhện giăng tơ.,,,,,,,
蝇,yíng,ying,2,dăng,ruồi,,虫|黾,蝇|蝉|蝴|蜗,thu,3,苍蝇很烦。,Con ruồi rất phiền.,,,,,,,
蚊,wén,wen,2,văn,muỗi,,虫|文,蚊|蚂|蚁|蛇,thu,3,蚊子咬人。,Muỗi đốt người.,,,,,,,
豹,bào,bao,4,báo,con báo,,豸|勺,豹|猎|貌|豺,thu,3,豹跑得很快。,Báo chạy rất nhanh.,,,,,,,
鲨,shā,sha,1,sa,cá mập,,鱼|沙,鲨|鲸|鲤|鲜,thu,3,鲨鱼很凶。,Cá mập rất hung dữ.,,,,,,,
鲸,jīng,jing,1,kình,cá voi,,鱼|京,鲸|鲨|鲤|鲤,thu,3,鲸鱼很大。,Cá voi rất to.,,,,,,,
粉,fěn,fen,3,phấn,màu hồng phấn,,米|分,粉|米|粒|类,mau,1,粉色的花。,Bông hoa màu hồng.,,,,,,,
金,jīn,jin,1,kim,màu vàng kim,,,金|全|全|余,mau,1,金色的阳光。,Ánh nắng màu vàng kim.,,,8,金,金,1,1
银,yín,yin,2,ngân,màu bạc,,钅|艮,银|银|根|很,mau,1,银色的月亮。,Mặt trăng màu bạc.,,,,金,,,2
青,qīng,qing,1,thanh,xanh (lam/lục),,,青|清|情|晴,mau,1,青山绿水。,Núi xanh nước biếc.,,,,,,,
棕,zōng,zong,1,tông,màu nâu,,木|宗,棕|标|棵|棉,mau,2,棕色的头发。,Mái tóc màu nâu.,,,,,,,
彩,cǎi,cai,3,thải,"sặc sỡ, nhiều màu",,,彩|采|彰|彭,mau,2,这是彩色的。,Nhiều màu sắc.,,,,,,,
褐,hè,he,4,hạt,màu nâu sẫm,,衤|曷,褐|袍|裸|褪,mau,3,褐色的土地。,Đất màu nâu sẫm.,,,,,,,
橘,jú,ju,2,quất,màu cam (như quả quýt),,木|矞,橘|橙|柑|桔,mau,3,橘色的夕阳。,Hoàng hôn màu cam.,,,,,,,
乌,wū,wu,1,ô,đen tuyền,,,乌|鸟|鸣|鸦,mau,3,乌黑的头发。,Mái tóc đen tuyền.,黑,,,,,,
长,cháng,chang,2,trường,dài,,,长|张|长|术,tinh_tu,1,头发很长。,Tóc rất dài.,,短,4,,,,2
重,zhòng,zhong,4,trọng,nặng,,,重|里|童|里,tinh_tu,1,箱子很重。,Cái va li rất nặng.,,轻,,,,,
轻,qīng,qing,1,khinh,nhẹ,,车|坙,轻|经|径|茎,tinh_tu,1,书包很轻。,Cặp sách rất nhẹ.,,重,,,,,
美,měi,mei,3,mỹ,đẹp,,,美|羊|着|着,tinh_tu,1,风景很美。,Phong cảnh rất đẹp.,,丑,,,,,
丑,chǒu,chou,3,xú,xấu (hình thức),,,丑|且|且|旦,tinh_tu,1,这个很丑。,Cái này rất xấu.,,美,,,,,
坏,huài,huai,4,hoại,"hỏng, xấu (tính cách)",,土|不,坏|环|块|坂,tinh_tu,1,坏习惯。,Thói quen xấu.,,好,,,,,
难,nán,nan,2,nan,khó,,,难|叹|欢|艰,tinh_tu,1,这个很难。,Cái này rất khó.,,易,,,,,
易,yì,yi,4,dị,dễ,,,易|场|阳|汤,tinh_tu,1,这个很容易。,Cái này rất dễ.,,难,,,,,
幼,yòu,you,4,ấu,"nhỏ tuổi, non nớt",,幺|力,幼|幻|幽|幼,tinh_tu,1,年幼的孩子。,Đứa trẻ nhỏ tuổi.,,老,,,,,
宽,kuān,kuan,1,khoan,rộng,,,宽|宾|宫|宴,tinh_tu,2,马路很宽。,Con đường rất rộng.,,,,,,,
厚,hòu,hou,4,hậu,dày,,,厚|原|历|压,tinh_tu,2,衣服很厚。,Quần áo rất dày.,,薄,,,,,
薄,báo,bao,2,bạc,mỏng,,艹|溥,薄|簿|礴|博,tinh_tu,2,纸很薄。,Tờ giấy rất mỏng.,,厚,,,,,
硬,yìng,ying,4,ngạnh,cứng,,石|更,硬|碗|破|碎,tinh_tu,2,石头很硬。,Hòn đá rất cứng.,,软,,,,,
软,ruǎn,ruan,3,nhuyễn,mềm,,车|欠,软|欢|次|软,tinh_tu,2,床很软。,Cái giường rất mềm.,,硬,,,,,
静,jìng,jing,4,tĩnh,yên tĩnh,,青|争,静|净|睛|情,tinh_tu,2,教室很静。,Lớp học rất yên tĩnh.,,,,,,,
勤,qín,qin,2,cần,chăm chỉ,,,勤|劝|勒|动,tinh_tu,2,他很勤劳。,Anh ấy rất chăm chỉ.,,懒,,,,,
懒,lǎn,lan,3,lãn,lười biếng,,忄|赖,懒|赖|瀬|懈,tinh_tu,2,他很懒。,Anh ấy rất lười.,,勤,,,,,
乖,guāi,guai,1,quai,ngoan,,,乖|乘|北|乖,tinh_tu,2,孩子很乖。,Đứa trẻ rất ngoan.,,,,,,,
险,xiǎn,xian,3,hiểm,nguy hiểm,,,险|检|捡|脸,tinh_tu,2,这里很危险。,Ở đây rất nguy hiểm.,,,,,,,
全,quán,quan,2,toàn,"toàn bộ, an toàn",,,全|金|全|会,tinh_tu,2,安全第一。,An toàn là trên hết.,,,,,,,
深,shēn,shen,1,thâm,"sâu, đậm",,氵|深,深|探|探|沈,tinh_tu,3,河水很深。,Nước sông rất sâu.,,浅,,,,,
浅,qiǎn,qian,3,thiển,"nông, nhạt",,氵|戋,浅|钱|线|残,tinh_tu,3,水很浅。,Nước rất nông.,,深,,,,,
暗,àn,an,4,ám,tối,,日|音,暗|音|意|暗,tinh_tu,3,房间很暗。,Căn phòng rất tối.,,明,,,,,
矮,ǎi,ai,3,ải,thấp (người),,矢|委,矮|矬|短|矢,tinh_tu,3,他很矮。,Anh ấy rất thấp.,,高,,,,,
稀,xī,xi,1,hy,"hiếm, loãng",,禾|希,稀|希|布|布,tinh_tu,3,这很稀有。,Cái này rất hiếm có.,,浓,,,,,
密,mì,mi,4,mật,"dày đặc, kín",,,密|蜜|秘|蜂,tinh_tu,3,树林很密。,Rừng cây rất rậm rạp.,,稀,,,,,
浓,nóng,nong,2,nùng,đậm đặc,,氵|农,浓|农|浓|依,tinh_tu,3,茶很浓。,Trà rất đậm.,,稀,,,,,
粗,cū,cu,1,thô,"thô, to",,米|且,粗|租|组|阻,tinh_tu,3,绳子很粗。,Sợi dây rất to.,,细,,,,,
细,xì,xi,4,tế,"mảnh, tỉ mỉ",,纟|田,细|细|组|绍,tinh_tu,3,线很细。,Sợi chỉ rất mảnh.,,粗,,,,,
急,jí,ji,2,cấp,"gấp, vội",,,急|忽|怒|忽,tinh_tu,3,别着急。,Đừng vội.,,缓,,,,,
缓,huǎn,huan,3,hoãn,"chậm rãi, hoãn lại",,纟|爰,缓|暖|援|媛,tinh_tu,3,慢慢缓一缓。,Từ từ hoãn lại một chút.,,急,,,,,
稳,wěn,wen,3,ổn,"ổn định, vững",,禾|急,稳|急|愁|穗,tinh_tu,3,坐稳了。,Ngồi vững rồi.,,乱,,,,,
乱,luàn,luan,4,loạn,lộn xộn,,,乱|舌|辞|乳,tinh_tu,3,房间很乱。,Căn phòng rất lộn xộn.,,稳,,,,,
清,qīng,qing,1,thanh,"trong, rõ ràng",,氵|青,清|情|请|晴,tinh_tu,3,水很清。,Nước rất trong.,,糊,,,,,
糊,hú,hu,2,hồ,"mơ hồ, lẫn lộn",,米|胡,糊|湖|蝴|葫,tinh_tu,3,说得很糊涂。,Nói rất mơ hồ.,,清,,,,,
叶,yè,ye,4,diệp,lá cây,,,叶|叫|吐|吓,rung,1,树叶黄了。,Lá cây đã vàng.,,,,木,,,
根,gēn,gen,1,căn,rễ cây,,木|艮,根|跟|恨|很,rung,1,树根很深。,Rễ cây rất sâu.,,,,木,,,
枝,zhī,zhi,1,chi,cành cây,,木|支,枝|技|枯|支,rung,1,树枝断了。,Cành cây gãy rồi.,,,,木,,,
松,sōng,song,1,tùng,cây thông,,木|公,松|棵|林|杉,rung,1,一棵松树。,Một cây thông.,,,,,,,
柳,liǔ,liu,3,liễu,cây liễu,,木|卯,柳|柏|棵|桃,rung,1,柳树在河边。,Cây liễu ở bên sông.,,,,,,,
桃,táo,tao,2,đào,"cây đào, quả đào",,木|兆,桃|挑|逃|跳,rung,1,桃花开了。,Hoa đào đã nở.,,,,木,,,
梅,méi,mei,2,mai,"cây mai, hoa mai",,木|每,梅|海|每|悔,rung,1,梅花很香。,Hoa mai rất thơm.,,,,,,,
菊,jú,ju,2,cúc,hoa cúc,,艹|匊,菊|莉|蓝|莲,rung,1,秋天的菊花。,Hoa cúc mùa thu.,,,,,,,
兰,lán,lan,2,lan,hoa lan,,,兰|蓝|栏|拦,rung,1,兰花很美。,Hoa lan rất đẹp.,,,,,,,
苗,miáo,miao,2,miêu,"mầm cây, cây non",,艹|田,苗|田|苔|草,rung,1,树苗长大了。,Cây non đã lớn.,,,,,,,
荷,hé,he,2,hà,hoa sen,,艹|何,荷|河|何|荷,rung,2,荷花很美。,Hoa sen rất đẹp.,莲,,,,,,
莲,lián,lian,2,liên,hoa sen,,艹|连,莲|连|链|恋,rung,2,莲花开了。,Hoa sen đã nở.,荷,,,,,,
藤,téng,teng,2,đằng,dây leo,,艹|滕,藤|腾|藤|籘,rung,2,藤蔓爬满墙。,Dây leo bò đầy tường.,,,,,,,
麦,mài,mai,4,mạch,lúa mì,,,麦|表|麸|麻,rung,2,小麦成熟了。,Lúa mì đã chín.,,,,,,,
稻,dào,dao,4,đạo,lúa,,禾|舀,稻|稿|稀|程,rung,2,稻田很大。,Ruộng lúa rất rộng.,,,,,,,
园,yuán,yuan,2,viên,vườn,,囗|元,园|回|国|团,rung,2,花园很漂亮。,Khu vườn rất đẹp.,,,,,,,
岭,lǐng,ling,3,lĩnh,"dãy núi, đèo",,山|领,岭|领|岗|峰,rung,2,翻过山岭。,Vượt qua dãy núi.,,,,,,,
坪,píng,ping,2,bình,"bãi cỏ, sân",,土|平,坪|平|评|坡,rung,3,草坪很绿。,Bãi cỏ rất xanh.,,,,,,,
峡,xiá,xia,2,giáp,"hẻm núi, eo biển",,山|夹,峡|狭|侠|挟,rung,3,山峡很窄。,Hẻm núi rất hẹp.,,,,,,,
壁,bì,bi,4,bích,"vách đá, tường",,土|辟,壁|璧|避|辟,rung,3,峭壁很高。,Vách đá rất cao.,,,,,,,
瀑,pù,pu,4,bộc,thác nước,,氵|暴,瀑|暴|爆|曝,rung,3,瀑布很壮观。,Thác nước rất hùng vĩ.,,,,,,,
沼,zhǎo,zhao,3,chiểu,đầm lầy,,氵|召,沼|招|昭|沿,rung,3,沼泽很危险。,Đầm lầy rất nguy hiểm.,泽,,,,,,
泽,zé,ze,2,trạch,"đầm, ao",,氵|睪,泽|译|择|驿,rung,3,水泽之地。,Vùng đất đầm ao.,沼,,,,,,
苔,tái,tai,2,đài,rêu,,艹|台,苔|抬|胎|台,rung,3,石头长苔。,Hòn đá mọc rêu.,,,,,,,
棘,jí,ji,2,cức,"gai, bụi gai",,,棘|束|刺|辣,rung,3,荆棘很多。,Có rất nhiều gai.,,,,,,,
父,fù,fu,4,phụ,"cha, bố (trang trọng)",,,父|爸|交|又,gia_dinh,1,父亲很忙。,Cha rất bận.,,,,,,,
母,mǔ,mu,3,mẫu,mẹ (trang trọng),,,母|每|毋|海,gia_dinh,1,母亲很爱我。,Mẹ rất yêu tôi.,,,,,,,
儿,ér,er,2,nhi,"con trai, trẻ con",,,儿|几|九|川,gia_dinh,1,儿子很聪明。,Con trai rất thông minh.,,,,,,,
夫,fū,fu,1,phu,chồng,,,夫|天|太|失,gia_dinh,1,丈夫在工作。,Chồng đang làm việc.,,,,,,,
妻,qī,qi,1,thê,vợ,,女|中,妻|妾|妥|要,gia_dinh,1,妻子很温柔。,Vợ rất dịu dàng.,,,,,,,
姓,xìng,xing,4,tính,họ (tên họ),,女|生,姓|性|生|妹,gia_dinh,1,你姓什么？,Bạn họ gì?,,,,,,,
孙,sūn,sun,1,tôn,cháu,,子|小,孙|孩|孤|孔,gia_dinh,2,孙子很可爱。,Cháu trai rất đáng yêu.,,,,,,,
叔,shū,shu,1,thúc,chú (em trai của bố),,,叔|权|叔|督,gia_dinh,2,叔叔来了。,Chú đến rồi.,,,,,,,
伯,bó,bo,2,bá,bác (anh trai của bố),,亻|白,伯|柏|泊|拍,gia_dinh,2,伯父很高。,Bác rất cao.,,,,,,,
姑,gū,gu,1,cô,cô (em gái của bố),,女|古,姑|故|苦|枯,gia_dinh,2,姑姑很漂亮。,Cô rất xinh đẹp.,,,,,,,
舅,jiù,jiu,4,cữu,cậu (anh em trai của mẹ),,臼|男,舅|舆|旧|白,gia_dinh,2,舅舅送我礼物。,Cậu tặng tôi quà.,,,,,,,
姨,yí,yi,2,di,dì (chị em gái của mẹ),,女|夷,姨|姐|姓|姓,gia_dinh,2,阿姨很和气。,Dì rất hiền hòa.,,,,,,,
婚,hūn,hun,1,hôn,kết hôn,,女|昏,婚|昏|婆|媳,gia_dinh,3,他们结婚了。,Họ đã kết hôn.,,,,,,,
辈,bèi,bei,4,bối,"thế hệ, vai vế",,,辈|背|辉|畫,gia_dinh,3,长辈很重要。,Bậc trưởng bối rất quan trọng.,,,,,,,
族,zú,zu,2,tộc,"dòng họ, tộc",,,族|旅|施|旗,gia_dinh,3,家族很大。,Gia tộc rất lớn.,,,,,,,
戚,qī,qi,1,thích,họ hàng,,,戚|戏|成|戒,gia_dinh,3,亲戚来了。,Họ hàng đến rồi.,,,,,,,
亲,qīn,qin,1,thân,"thân thiết, ruột thịt",,,亲|新|杂|辛,gia_dinh,3,亲人团聚。,Người thân sum họp.,,,,,,,
头,tóu,tou,2,đầu,đầu,,,头|买|头|大,than_the,1,我的头很疼。,Đầu tôi rất đau.,,,5,,,,2
背,bèi,bei,4,bối,lưng,,,背|北|部|皆,than_the,1,背很痛。,Lưng rất đau.,,,,,,,
腰,yāo,yao,1,yêu,"eo, thắt lưng",,月|要,腰|要|腿|腹,than_the,1,腰很细。,Eo rất thon.,,,,,,,
胸,xiōng,xiong,1,hung,ngực,,月|匈,胸|凶|胖|脑,than_the,1,胸很宽。,Ngực rất rộng.,,,,,,,
肚,dù,du,4,đỗ,bụng,,月|土,肚|肠|胖|肉,than_the,1,肚子饿了。,Bụng đói rồi.,,,,,,,
肩,jiān,jian,1,kiên,vai,,,肩|户|房|肚,than_the,1,肩膀很宽。,Vai rất rộng.,,,,,,,
指,zhǐ,zhi,3,chỉ,ngón tay,,扌|旨,指|脂|旨|措,than_the,1,手指很长。,Ngón tay rất dài.,,,,,,,
骨,gǔ,gu,3,cốt,xương,,,骨|滑|骼|骷,than_the,1,骨头很硬。,Xương rất cứng.,,,,,,,
血,xuè,xue,4,huyết,máu,,,血|皿|盆|盒,than_the,1,流血了。,Đã chảy máu.,,,,,,,
舌,shé,she,2,thiệt,lưỡi,,,舌|活|括|话,than_the,1,舌头很红。,Cái lưỡi rất đỏ.,,,,,,,
臂,bì,bi,4,tý,cánh tay,,辟|月,臂|壁|璧|避,than_the,2,手臂很有力。,Cánh tay rất khỏe.,,,,,,,
掌,zhǎng,zhang,3,chưởng,lòng bàn tay,,,掌|常|党|堂,than_the,2,手掌很大。,Lòng bàn tay rất to.,,,,,,,
拳,quán,quan,2,quyền,nắm đấm,,,拳|卷|拳|券,than_the,2,握紧拳头。,Nắm chặt nắm đấm.,,,,,,,
膝,xī,xi,1,tất,đầu gối,,月|漆,膝|漆|膀|腰,than_the,2,膝盖很痛。,Đầu gối rất đau.,,,,,,,
颈,jǐng,jing,3,cảnh,cổ,,,颈|经|径|劲,than_the,2,脖颈很长。,Cổ rất dài.,,,,,,,
喉,hóu,hou,2,hầu,họng,,口|侯,喉|猴|候|喊,than_the,2,喉咙很痛。,Cổ họng rất đau.,,,,,,,
唇,chún,chun,2,thần,môi,,辰|口,唇|辰|晨|振,than_the,2,嘴唇很红。,Đôi môi rất đỏ.,,,,,,,
额,é,e,2,ngạch,trán,,,额|客|颜|颗,than_the,2,额头很宽。,Trán rất rộng.,,,,,,,
眉,méi,mei,2,mi,lông mày,,,眉|眼|看|盾,than_the,2,眉毛很浓。,Lông mày rất rậm.,,,,,,,
须,xū,xu,1,tu,râu,,,须|头|页|顺,than_the,2,胡须很长。,Bộ râu rất dài.,,,,,,,
踝,huái,huai,2,khoả,mắt cá chân,,足|果,踝|跟|路|跑,than_the,3,脚踝扭伤了。,Mắt cá chân bị trẹo.,,,,,,,
睫,jié,jie,2,tiệp,lông mi,,目|疌,睫|睛|眨|睁,than_the,3,睫毛很长。,Lông mi rất dài.,,,,,,,
脑,nǎo,nao,3,não,não,,月|凶,脑|恼|胸|脏,than_the,3,大脑很重要。,Bộ não rất quan trọng.,,,,,,,
肺,fèi,fei,4,phế,phổi,,月|市,肺|柿|肝|胖,than_the,3,肺很健康。,Phổi rất khỏe mạnh.,,,,,,,
肝,gān,gan,1,can,gan,,月|干,肝|肚|肺|胖,than_the,3,肝脏很重要。,Gan rất quan trọng.,,,,,,,
胃,wèi,wei,4,vị,dạ dày,,田|月,胃|界|留|界,than_the,3,胃很不舒服。,Dạ dày khó chịu.,,,,,,,
肠,cháng,chang,2,trường,ruột,,月|杨,肠|场|扬|杨,than_the,3,肠胃不好。,Dạ dày ruột không tốt.,,,,,,,
汗,hàn,han,4,hãn,mồ hôi,,氵|干,汗|汉|旱|杆,than_the,3,出了很多汗。,Ra rất nhiều mồ hôi.,,,,,,,
泪,lèi,lei,4,lệ,nước mắt,,氵|目,泪|眼|泣|滴,than_the,3,流泪了。,Chảy nước mắt rồi.,,,,,,,
甲,jiǎ,jia,3,giáp,móng (tay/chân),,,甲|由|申|田,than_the,3,指甲很长。,Móng tay rất dài.,,,5,金,,,2
现,xiàn,xian,4,hiện,"hiện tại, bây giờ",,,现|观|规|视,thoigian,1,现在几点？,Bây giờ mấy giờ?,,,,,,,
过,guò,guo,4,quá,"đã qua, quá khứ",,,过|辽|近|运,thoigian,1,过去的事。,Chuyện đã qua.,,,,,,,
将,jiāng,jiang,1,tương,"sắp, tương lai",,,将|奖|浆|酱,thoigian,1,将来会好的。,Tương lai sẽ tốt đẹp.,,,,,,,
昨,zuó,zuo,2,tạc,hôm qua,,日|乍,昨|作|昨|昕,thoigian,1,昨天下雨了。,Hôm qua trời mưa.,,,,,,,
钟,zhōng,zhong,1,chung,"đồng hồ, giờ",,钅|中,钟|种|锺|钢,thoigian,1,一点钟。,Một giờ đồng hồ.,,,,金,,,
秒,miǎo,miao,3,miểu,giây,,禾|少,秒|沙|吵|抄,thoigian,1,十秒钟。,Mười giây.,,,,,,,
晨,chén,chen,2,thần,buổi sáng sớm,,日|辰,晨|辰|震|振,thoigian,1,早晨很凉快。,Buổi sáng sớm rất mát.,,,,,,,
久,jiǔ,jiu,3,cửu,lâu (thời gian),,,久|久|夂|旧,thoigian,1,等了很久。,Đã chờ rất lâu.,,,,,,,
迟,chí,chi,2,trì,"muộn, trễ",,,迟|运|返|迈,thoigian,1,上学迟到了。,Đi học muộn rồi.,,早,,,,,
始,shǐ,shi,3,thủy,bắt đầu,,女|台,始|治|抬|胎,thoigian,1,开始上课。,Bắt đầu vào học.,,终,,,,,
终,zhōng,zhong,1,chung,"cuối cùng, kết thúc",,,终|冬|经|约,thoigian,1,终于结束了。,Cuối cùng cũng xong rồi.,,始,,,,,
准,zhǔn,zhun,3,chuẩn,"đúng giờ, chuẩn",,,准|淮|谁|难,thoigian,1,准时到达。,Đến đúng giờ.,,,,,,,
刻,kè,ke,4,khắc,khắc (15 phút),,亥|刂,刻|该|核|刘,thoigian,2,一刻钟。,Một khắc đồng hồ (15 phút).,,,,,,,
昼,zhòu,zhou,4,trú,ban ngày,,,昼|尽|画|书,thoigian,2,昼夜不停。,Ngày đêm không ngừng.,,夜,,,,,
初,chū,chu,1,sơ,"ban đầu, mới",,衤|刀,初|礼|衬|补,thoigian,2,初次见面。,Lần đầu gặp mặt.,,末,,,,,
末,mò,mo,4,mạt,"cuối, cuối cùng",,,末|未|木|本,thoigian,2,周末休息。,Cuối tuần nghỉ ngơi.,,初,,木,,,
持,chí,chi,2,trì,"duy trì, kéo dài",,扌|寺,持|待|等|特,thoigian,2,持续下雨。,Mưa kéo dài liên tục.,,,,,,,
永,yǒng,yong,3,vĩnh,"mãi mãi, vĩnh viễn",,,永|水|泳|冰,thoigian,3,永远记得。,Mãi mãi ghi nhớ.,,,,,,,
瞬,shùn,shun,4,thuấn,"chớp mắt, khoảnh khắc",,目|舜,瞬|眨|睁|瞄,thoigian,3,一瞬间。,Trong khoảnh khắc.,,,,,,,
刹,chà,cha,4,sát,khoảnh khắc ngắn ngủi,,,刹|杀|剎|刷,thoigian,3,刹那之间。,Trong khoảnh khắc ngắn ngủi.,,,,,,,
临,lín,lin,2,lâm,"sắp, đến gần (thời điểm)",,,临|监|览|坚,thoigian,3,临时决定。,Quyết định tạm thời.,,,,,,,
届,jiè,jie,4,giới,"khóa, kỳ",,尸|由,届|尾|居|尿,thoigian,3,第一届。,Khóa đầu tiên.,,,,,,,
期,qī,qi,1,kỳ,"kỳ hạn, thời kỳ",,其|月,期|欺|棋|旗,thoigian,3,学期开始了。,Học kỳ đã bắt đầu.,,,,,,,
限,xiàn,xian,4,hạn,"giới hạn, hạn",,阝|艮,限|艰|眼|恨,thoigian,3,期限到了。,Đến hạn rồi.,,,,,,,
延,yán,yan,2,diên,"kéo dài, trì hoãn",,,延|廷|建|诞,thoigian,3,延长时间。,Kéo dài thời gian.,,,,,,,
暂,zàn,zan,4,tạm,tạm thời,,车|日,暂|斩|渐|惭,thoigian,3,暂时休息。,Tạm thời nghỉ ngơi.,,,,,,,
恒,héng,heng,2,hằng,"thường hằng, mãi mãi",,忄|亘,恒|桓|宣|亘,thoigian,3,永恒不变。,Vĩnh hằng không đổi.,,,,,,,
频,pín,pin,2,tần,"tần suất, thường xuyên",,,频|颇|颗|须,thoigian,3,频繁发生。,Xảy ra thường xuyên.,,,,,,,
题,tí,ti,2,đề,"đề bài, câu hỏi",,页|是,题|是|提|堤,hoc,1,一道题目。,Một câu hỏi.,,,,,,,
板,bǎn,ban,3,bản,"bảng, tấm ván",,木|反,板|坂|饭|版,hoc,1,黑板很大。,Bảng đen rất to.,,,,,,,
尺,chǐ,chi,3,xích,cây thước,,,尺|尽|尼|尾,hoc,1,一把尺子。,Một cây thước.,,,,,,,
知,zhī,zhi,1,tri,biết,,矢|口,知|矩|短|矮,hoc,1,我不知道。,Tôi không biết.,,,,,,,
习,xí,xi,2,tập,"luyện tập, thói quen",,,习|羽|刁|司,hoc,1,学习汉语。,Học tiếng Hán.,,,,,,,
错,cuò,cuo,4,thác,"sai, nhầm lẫn",,钅|昔,错|措|借|惜,hoc,1,写错字了。,Viết sai chữ rồi.,,对,,,,,
念,niàn,nian,4,niệm,"đọc to, học, nghĩ",,,念|今|念|含,hoc,1,念课文。,Đọc bài văn.,,,,,,,
试,shì,shi,4,thí,"thử, thi",,讠|式,试|式|拭|识,hoc,1,考试很难。,Kỳ thi rất khó.,,,,,,,
铅,qiān,qian,1,duyên,chì,,钅|几,铅|错|钢|铁,hoc,2,铅笔很好用。,Bút chì rất tốt.,,,,,,,
识,shí,shi,2,thức,"nhận biết, kiến thức",,讠|只,识|职|织|职,hoc,2,认识这个字。,Nhận biết chữ này.,,,,,,,
抄,chāo,chao,1,sao,chép,,扌|少,抄|吵|炒|秒,hoc,2,抄写课文。,Chép bài văn.,,,,,,,
默,mò,mo,4,mặc,"im lặng, viết chính tả",,,默|黑|墨|黙,hoc,3,默写生字。,Viết chính tả từ mới.,,,,,,,
卷,juàn,juan,4,quyển,"quyển, bài thi",,,卷|券|卫|卫,hoc,3,试卷很难。,Bài thi rất khó.,,,,,,,
格,gé,ge,2,cách,"cách, ô; đạt (điểm)",,木|各,格|阁|洛|路,hoc,3,及格了。,Đã đạt điểm rồi.,,,,,,,
